,count,tag,poiId,shopName,_id
0,313,牛肉赞,6471463,豪尚豪牛排（汕樟店）,5ddb984977ac6e0e35625010
1,195,上菜快,6471463,豪尚豪牛排（汕樟店）,5ddb984977ac6e0e35625011
2,89,菜品精致,6471463,豪尚豪牛排（汕樟店）,5ddb984977ac6e0e35625012
3,74,回头客,6471463,豪尚豪牛排（汕樟店）,5ddb984977ac6e0e35625013
4,37,饮品赞,6471463,豪尚豪牛排（汕樟店）,5ddb984977ac6e0e35625014
5,33,点心好,6471463,豪尚豪牛排（汕樟店）,5ddb984977ac6e0e35625015
6,21,朋友聚餐,6471463,豪尚豪牛排（汕樟店）,5ddb984977ac6e0e35625016
7,8,闺蜜聚会,6471463,豪尚豪牛排（汕樟店）,5ddb984977ac6e0e35625017
8,4,下午茶,6471463,豪尚豪牛排（汕樟店）,5ddb984977ac6e0e35625018
9,4,家庭聚餐,6471463,豪尚豪牛排（汕樟店）,5ddb984977ac6e0e35625019
,count,tag,poiId,shopName,_id
0,198,上菜快,4854346,艾诺玛休闲餐厅（南和店）,5ddb9ae578246f4814ec439c
1,152,菜品精致,4854346,艾诺玛休闲餐厅（南和店）,5ddb9ae578246f4814ec439d
2,115,回头客,4854346,艾诺玛休闲餐厅（南和店）,5ddb9ae578246f4814ec439e
3,97,分量足,4854346,艾诺玛休闲餐厅（南和店）,5ddb9ae578246f4814ec439f
4,94,肉类好,4854346,艾诺玛休闲餐厅（南和店）,5ddb9ae578246f4814ec43a0
5,82,饮品赞,4854346,艾诺玛休闲餐厅（南和店）,5ddb9ae578246f4814ec43a1
6,58,主食赞,4854346,艾诺玛休闲餐厅（南和店）,5ddb9ae578246f4814ec43a2
7,31,点心好,4854346,艾诺玛休闲餐厅（南和店）,5ddb9ae578246f4814ec43a3
8,22,朋友聚餐,4854346,艾诺玛休闲餐厅（南和店）,5ddb9ae578246f4814ec43a4
9,4,闺蜜聚会,4854346,艾诺玛休闲餐厅（南和店）,5ddb9ae578246f4814ec43a5
,count,tag,poiId,shopName,_id
0,453,味道赞,67679113,四云奶盖贡茶漾漾好（苏宁店）,5ddb9c5378246f4814ec54ea
1,448,饮品赞,67679113,四云奶盖贡茶漾漾好（苏宁店）,5ddb9c5378246f4814ec54eb
2,174,回头客,67679113,四云奶盖贡茶漾漾好（苏宁店）,5ddb9c5378246f4814ec54ec
3,152,上菜快,67679113,四云奶盖贡茶漾漾好（苏宁店）,5ddb9c5378246f4814ec54ed
4,58,菜品精致,67679113,四云奶盖贡茶漾漾好（苏宁店）,5ddb9c5378246f4814ec54ee
5,6,交通便利,67679113,四云奶盖贡茶漾漾好（苏宁店）,5ddb9c5378246f4814ec54ef
6,12,朋友聚餐,67679113,四云奶盖贡茶漾漾好（苏宁店）,5ddb9c5378246f4814ec54f0
7,6,下午茶,67679113,四云奶盖贡茶漾漾好（苏宁店）,5ddb9c5378246f4814ec54f1
8,3,闺蜜聚会,67679113,四云奶盖贡茶漾漾好（苏宁店）,5ddb9c5378246f4814ec54f2
9,53,分量少,67679113,四云奶盖贡茶漾漾好（苏宁店）,5ddb9c5378246f4814ec54f3
,count,tag,poiId,shopName,_id
0,406,回头客,41478462,海盗船烤鱼（广祥店）,5ddb9df278246f4814ec6d22
1,327,肉类好,41478462,海盗船烤鱼（广祥店）,5ddb9df278246f4814ec6d23
2,53,海鲜棒,41478462,海盗船烤鱼（广祥店）,5ddb9df278246f4814ec6d24
3,19,主食赞,41478462,海盗船烤鱼（广祥店）,5ddb9df278246f4814ec6d25
4,15,停车方便,41478462,海盗船烤鱼（广祥店）,5ddb9df278246f4814ec6d26
5,54,朋友聚餐,41478462,海盗船烤鱼（广祥店）,5ddb9df278246f4814ec6d27
6,17,家庭聚餐,41478462,海盗船烤鱼（广祥店）,5ddb9df278246f4814ec6d28
7,13,闺蜜聚会,41478462,海盗船烤鱼（广祥店）,5ddb9df278246f4814ec6d29
